Type,Campaign,Ad Group,Keyword,Match Type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Status
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan appeal],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan appeal""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan appeal letter template],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan appeal letter template""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan coverage denied],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan coverage denied""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan denied by insurance],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan denied by insurance""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan insurance denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan insurance denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan not covered],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan not covered""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan not medically necessary],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan not medically necessary""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan pre authorization denied],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan pre authorization denied""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan preauth denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan preauth denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[united healthcare denied mri scan],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""united healthcare denied mri scan""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,[write appeal letter mri scan],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing MRI Denials,"""write appeal letter mri scan""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Responsive Search Ad,Fight Health Insurance - Microsites,Appealing MRI Denials,,,https://fighthealthinsurance.com/microsite/mri-denial/,Appealing MRI Denials,Appeal Your MRI Denial,Start your MRI appeal — it ta…,Appeal MRI Scan Denial,Fight Insurance Denials,Free Appeal Help,AI-Powered Appeal Letters,Insurance often denies MRIs a…,Get Your Appeal Started,Free Appeal Generator,,,,,,"Don’t let ""not medically necessary"" stop you from getting real answers.","We help you explain your symptoms, clinical history, and physician recommendations in a w…",MRIs get denied all the time — usually because the insurer wants cheaper imaging first or…,Free AI-powered tool to help you write persuasive insurance appeal letters.,mri,denial,Active
Ad Group,Fight Health Insurance - Microsites,Appealing CT Scan Denials,,,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[aetna denied ct scan],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""aetna denied ct scan""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[appeal ct scan denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""appeal ct scan denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[appeal letter for ct scan],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""appeal letter for ct scan""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[blue cross denied ct scan],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""blue cross denied ct scan""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan appeal],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan appeal""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan appeal letter template],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan appeal letter template""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan coverage denied],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan coverage denied""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan denied by insurance],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan denied by insurance""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan insurance denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan insurance denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan not covered],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan not covered""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan not medically necessary],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan not medically necessary""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan pre authorization denied],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan pre authorization denied""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan preauth denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan preauth denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[fight ct scan denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""fight ct scan denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[how to appeal ct scan denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""how to appeal ct scan denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[insurance denied ct scan],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""insurance denied ct scan""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[insurance refusing ct scan],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""insurance refusing ct scan""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[insurance won't cover ct scan],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""insurance won't cover ct scan""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[united healthcare denied ct scan],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""united healthcare denied ct scan""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,[write appeal letter ct scan],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""write appeal letter ct scan""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Responsive Search Ad,Fight Health Insurance - Microsites,Appealing CT Scan Denials,,,https://fighthealthinsurance.com/microsite/ct-scan-denial/,Appealing CT Scan Denials,Appeal Your CT Scan Denial,Start your CT scan appeal.,Appeal CT Scan Denial,Fight Insurance Denials,Free Appeal Help,AI-Powered Appeal Letters,Step-by-step help appealing C…,Get Your Appeal Started,Free Appeal Generator,,,,,,"When your doctor orders it, insurers shouldn’t second-guess them.","We help you articulate the clinical urgency and rationale behind your CT order, backed by…",CT scans are often denied because insurers think the issue isn’t urgent or could be diagn…,Free AI-powered tool to help you write persuasive insurance appeal letters.,ct,scan,Active
Ad Group,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,,,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[aetna denied sleep study (polysomnography or home study)],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""aetna denied sleep study (polysomnography or home study)""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[appeal letter for sleep study (polysomnography or home study)],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""appeal letter for sleep study (polysomnography or home study)""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[appeal sleep study (polysomnography or home study) denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""appeal sleep study (polysomnography or home study) denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[blue cross denied sleep study (polysomnography or home study)],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""blue cross denied sleep study (polysomnography or home study)""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[fight sleep study (polysomnography or home study) denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""fight sleep study (polysomnography or home study) denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[how to appeal sleep study (polysomnography or home study) denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""how to appeal sleep study (polysomnography or home study) denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[insurance denied sleep study (polysomnography or home study)],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""insurance denied sleep study (polysomnography or home study)""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[insurance refusing sleep study (polysomnography or home study)],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""insurance refusing sleep study (polysomnography or home study)""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[insurance won't cover sleep study (polysomnography or home study)],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""insurance won't cover sleep study (polysomnography or home study)""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study)],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study)""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) appeal],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) appeal""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) appeal letter template],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) appeal letter template""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) coverage denied],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) coverage denied""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) denied by insurance],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) denied by insurance""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) insurance denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) insurance denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) not covered],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) not covered""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) not medically necessary],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) not medically necessary""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) pre authorization denied],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) pre authorization denied""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) preauth denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) preauth denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[united healthcare denied sleep study (polysomnography or home study)],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""united healthcare denied sleep study (polysomnography or home study)""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[write appeal letter sleep study (polysomnography or home study)],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""write appeal letter sleep study (polysomnography or home study)""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Responsive Search Ad,Fight Health Insurance - Microsites,Appealing Sleep Study Denials,,,https://fighthealthinsurance.com/microsite/sleep-study-denial/,Appealing Sleep Study Denials,Appeal Your Sleep Study Denial,Start your sleep study appeal.,Appeal Sleep Study (Polysomno…,Fight Insurance Denials,Free Appeal Help,AI-Powered Appeal Letters,Insurers frequently require a…,Get Your Appeal Started,Free Appeal Generator,,,,,,"Whether in-lab or at home, testing for sleep disorders shouldn’t be a battle.","We help you clarify symptoms like snoring, apnea episodes, daytime sleepiness, and medica…",Sleep studies are denied constantly — often because insurers want a home test first or do…,Free AI-powered tool to help you write persuasive insurance appeal letters.,sleep,study,Active
Ad Group,Fight Health Insurance - Microsites,Appealing CPAP Denials,,,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,[aetna denied cpap machine or supplies],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,"""aetna denied cpap machine or supplies""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,[appeal cpap machine or supplies denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,"""appeal cpap machine or supplies denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,[appeal letter for cpap machine or supplies],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,"""appeal letter for cpap machine or supplies""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,[blue cross denied cpap machine or supplies],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,"""blue cross denied cpap machine or supplies""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies appeal],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies appeal""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies appeal letter template],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies appeal letter template""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies coverage denied],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies coverage denied""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies denied by insurance],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies denied by insurance""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies for sleep apnea],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies for sleep apnea""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies insurance denial],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies insurance denial""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies not covered],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies not covered""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies not medically necessary],Exact,,,,,,,,,,,,,,,,,,,,,,,Active
Keyword,Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies not medically necessary""",Phrase,,,,,,,,,,,,,,,,,,,,,,,Active
