Campaign,Ad Group,Keyword,Match Type,Bid
Fight Health Insurance - Microsites,Appealing MRI Denials,insurance won't cover mri scan,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,mri scan,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan appeal],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan appeal""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,mri scan appeal,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan appeal letter template],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan appeal letter template""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,mri scan appeal letter template,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan coverage denied],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan coverage denied""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,mri scan coverage denied,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan denial],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan denial""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,mri scan denial,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan denied by insurance],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan denied by insurance""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,mri scan denied by insurance,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan insurance denial],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan insurance denial""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,mri scan insurance denial,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan not covered],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan not covered""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,mri scan not covered,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan not medically necessary],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan not medically necessary""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,mri scan not medically necessary,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan pre authorization denied],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan pre authorization denied""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,mri scan pre authorization denied,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[mri scan preauth denial],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""mri scan preauth denial""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,mri scan preauth denial,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[sample appeal letter mri scan],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""sample appeal letter mri scan""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,sample appeal letter mri scan,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[united healthcare denied mri scan],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""united healthcare denied mri scan""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,united healthcare denied mri scan,Broad,
Fight Health Insurance - Microsites,Appealing MRI Denials,[write appeal letter mri scan],Exact,
Fight Health Insurance - Microsites,Appealing MRI Denials,"""write appeal letter mri scan""",Phrase,
Fight Health Insurance - Microsites,Appealing MRI Denials,write appeal letter mri scan,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[aetna denied ct scan],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""aetna denied ct scan""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,aetna denied ct scan,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[appeal ct scan denial],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""appeal ct scan denial""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,appeal ct scan denial,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[appeal letter for ct scan],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""appeal letter for ct scan""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,appeal letter for ct scan,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[blue cross denied ct scan],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""blue cross denied ct scan""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,blue cross denied ct scan,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[cigna denied ct scan],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""cigna denied ct scan""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,cigna denied ct scan,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,ct scan,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan appeal],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan appeal""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,ct scan appeal,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan appeal letter template],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan appeal letter template""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,ct scan appeal letter template,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan coverage denied],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan coverage denied""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,ct scan coverage denied,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan denial],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan denial""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,ct scan denial,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan denied by insurance],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan denied by insurance""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,ct scan denied by insurance,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan insurance denial],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan insurance denial""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,ct scan insurance denial,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan not covered],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan not covered""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,ct scan not covered,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan not medically necessary],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan not medically necessary""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,ct scan not medically necessary,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan pre authorization denied],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan pre authorization denied""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,ct scan pre authorization denied,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[ct scan preauth denial],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""ct scan preauth denial""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,ct scan preauth denial,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[fight ct scan denial],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""fight ct scan denial""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,fight ct scan denial,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[how to appeal ct scan denial],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""how to appeal ct scan denial""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,how to appeal ct scan denial,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[humana denied ct scan],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""humana denied ct scan""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,humana denied ct scan,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[insurance denied ct scan],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""insurance denied ct scan""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,insurance denied ct scan,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[insurance refusing ct scan],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""insurance refusing ct scan""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,insurance refusing ct scan,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[insurance won't cover ct scan],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""insurance won't cover ct scan""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,insurance won't cover ct scan,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[sample appeal letter ct scan],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""sample appeal letter ct scan""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,sample appeal letter ct scan,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[united healthcare denied ct scan],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""united healthcare denied ct scan""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,united healthcare denied ct scan,Broad,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,[write appeal letter ct scan],Exact,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,"""write appeal letter ct scan""",Phrase,
Fight Health Insurance - Microsites,Appealing CT Scan Denials,write appeal letter ct scan,Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[aetna denied sleep study (polysomnography or home study)],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""aetna denied sleep study (polysomnography or home study)""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,aetna denied sleep study (polysomnography or home study),Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[appeal letter for sleep study (polysomnography or home study)],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""appeal letter for sleep study (polysomnography or home study)""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,appeal letter for sleep study (polysomnography or home study),Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[appeal sleep study (polysomnography or home study) denial],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""appeal sleep study (polysomnography or home study) denial""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,appeal sleep study (polysomnography or home study) denial,Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[blue cross denied sleep study (polysomnography or home study)],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""blue cross denied sleep study (polysomnography or home study)""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,blue cross denied sleep study (polysomnography or home study),Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[cigna denied sleep study (polysomnography or home study)],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""cigna denied sleep study (polysomnography or home study)""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,cigna denied sleep study (polysomnography or home study),Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[fight sleep study (polysomnography or home study) denial],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""fight sleep study (polysomnography or home study) denial""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,fight sleep study (polysomnography or home study) denial,Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[how to appeal sleep study (polysomnography or home study) denial],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""how to appeal sleep study (polysomnography or home study) denial""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,how to appeal sleep study (polysomnography or home study) denial,Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[humana denied sleep study (polysomnography or home study)],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""humana denied sleep study (polysomnography or home study)""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,humana denied sleep study (polysomnography or home study),Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[insurance denied sleep study (polysomnography or home study)],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""insurance denied sleep study (polysomnography or home study)""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,insurance denied sleep study (polysomnography or home study),Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[insurance refusing sleep study (polysomnography or home study)],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""insurance refusing sleep study (polysomnography or home study)""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,insurance refusing sleep study (polysomnography or home study),Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[insurance won't cover sleep study (polysomnography or home study)],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""insurance won't cover sleep study (polysomnography or home study)""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,insurance won't cover sleep study (polysomnography or home study),Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sample appeal letter sleep study (polysomnography or home study)],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sample appeal letter sleep study (polysomnography or home study)""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,sample appeal letter sleep study (polysomnography or home study),Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study)],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study)""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,sleep study (polysomnography or home study),Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) appeal],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) appeal""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,sleep study (polysomnography or home study) appeal,Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) appeal letter template],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) appeal letter template""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,sleep study (polysomnography or home study) appeal letter template,Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) coverage denied],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) coverage denied""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,sleep study (polysomnography or home study) coverage denied,Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) denial],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) denial""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,sleep study (polysomnography or home study) denial,Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) denied by insurance],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) denied by insurance""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,sleep study (polysomnography or home study) denied by insurance,Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) insurance denial],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) insurance denial""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,sleep study (polysomnography or home study) insurance denial,Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) not covered],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) not covered""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,sleep study (polysomnography or home study) not covered,Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) not medically necessary],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) not medically necessary""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,sleep study (polysomnography or home study) not medically necessary,Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) pre authorization denied],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) pre authorization denied""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,sleep study (polysomnography or home study) pre authorization denied,Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[sleep study (polysomnography or home study) preauth denial],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""sleep study (polysomnography or home study) preauth denial""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,sleep study (polysomnography or home study) preauth denial,Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[united healthcare denied sleep study (polysomnography or home study)],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""united healthcare denied sleep study (polysomnography or home study)""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,united healthcare denied sleep study (polysomnography or home study),Broad,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,[write appeal letter sleep study (polysomnography or home study)],Exact,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,"""write appeal letter sleep study (polysomnography or home study)""",Phrase,
Fight Health Insurance - Microsites,Appealing Sleep Study Denials,write appeal letter sleep study (polysomnography or home study),Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[aetna denied cpap machine or supplies],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""aetna denied cpap machine or supplies""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,aetna denied cpap machine or supplies,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[aetna sleep apnea denial],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""aetna sleep apnea denial""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,aetna sleep apnea denial,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[appeal cpap machine or supplies denial],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""appeal cpap machine or supplies denial""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,appeal cpap machine or supplies denial,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[appeal letter for cpap machine or supplies],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""appeal letter for cpap machine or supplies""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,appeal letter for cpap machine or supplies,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[blue cross denied cpap machine or supplies],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""blue cross denied cpap machine or supplies""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,blue cross denied cpap machine or supplies,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[blue cross sleep apnea denial],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""blue cross sleep apnea denial""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,blue cross sleep apnea denial,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[cigna denied cpap machine or supplies],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cigna denied cpap machine or supplies""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,cigna denied cpap machine or supplies,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[cigna sleep apnea denial],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cigna sleep apnea denial""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,cigna sleep apnea denial,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,cpap machine or supplies,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies appeal],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies appeal""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,cpap machine or supplies appeal,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies appeal letter template],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies appeal letter template""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,cpap machine or supplies appeal letter template,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies coverage denied],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies coverage denied""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,cpap machine or supplies coverage denied,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies denial],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies denial""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,cpap machine or supplies denial,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies denied by insurance],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies denied by insurance""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,cpap machine or supplies denied by insurance,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies for sleep apnea],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies for sleep apnea""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,cpap machine or supplies for sleep apnea,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies insurance denial],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies insurance denial""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,cpap machine or supplies insurance denial,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies not covered],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies not covered""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,cpap machine or supplies not covered,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies not medically necessary],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies not medically necessary""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,cpap machine or supplies not medically necessary,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies pre authorization denied],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies pre authorization denied""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,cpap machine or supplies pre authorization denied,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[cpap machine or supplies preauth denial],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""cpap machine or supplies preauth denial""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,cpap machine or supplies preauth denial,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[fight cpap machine or supplies denial],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""fight cpap machine or supplies denial""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,fight cpap machine or supplies denial,Broad,
Fight Health Insurance - Microsites,Appealing CPAP Denials,[how to appeal cpap machine or supplies denial],Exact,
Fight Health Insurance - Microsites,Appealing CPAP Denials,"""how to appeal cpap machine or supplies denial""",Phrase,
Fight Health Insurance - Microsites,Appealing CPAP Denials,how to appeal cpap machine or supplies denial,Broad,
